Wochentag,Wochentag,Uhrzeit,Frequentierung (absolut),Stoßzeiten_Label
Samstag,Samstag,12 Uhr,35,Normalerweise nicht zu stark besucht
Samstag,Samstag,13 Uhr,37,Normalerweise nicht zu stark besucht
Samstag,Samstag,14 Uhr,36,Normalerweise nicht zu stark besucht
Samstag,Samstag,15 Uhr,32,Normalerweise nicht zu stark besucht
Samstag,Samstag,16 Uhr,26,Normalerweise nicht zu stark besucht
Samstag,Samstag,17 Uhr,22,Normalerweise nicht zu stark besucht
Samstag,Samstag,18 Uhr,23,Normalerweise nicht zu stark besucht
Samstag,Samstag,19 Uhr,29,Normalerweise nicht zu stark besucht
Samstag,Samstag,20 Uhr,29,Normalerweise nicht zu stark besucht
Samstag,Samstag,21 Uhr,19,Normalerweise nicht stark besucht
Samstag,Samstag,22 Uhr,0,Geschlossen
Samstag,Samstag,23 Uhr,0,Geschlossen
Sonntag,Sonntag,06 Uhr,0,Geschlossen
Sonntag,Sonntag,07 Uhr,0,Geschlossen
Sonntag,Sonntag,08 Uhr,0,Geschlossen
Sonntag,Sonntag,09 Uhr,0,Geschlossen
Sonntag,Sonntag,10 Uhr,0,Geschlossen
Sonntag,Sonntag,11 Uhr,49,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,12 Uhr,66,Normalerweise mäßig besucht
Sonntag,Sonntag,13 Uhr,73,Normalerweise mäßig besucht
Sonntag,Sonntag,14 Uhr,67,Normalerweise mäßig besucht
Sonntag,Sonntag,15 Uhr,53,Normalerweise mäßig besucht
Sonntag,Sonntag,16 Uhr,40,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,17 Uhr,35,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,18 Uhr,38,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,19 Uhr,40,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,20 Uhr,35,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,21 Uhr,24,Normalerweise nicht zu stark besucht
Sonntag,Sonntag,22 Uhr,0,Geschlossen
Sonntag,Sonntag,23 Uhr,0,Geschlossen
